a	এ
bagaha	বাহাগা
bagalkot	বাঘালকোট
bagambar	বাগাম্বর
bagani	বাগানী
bagha	বাঘা
baghirath	ভাগীরথ
baghora	বাগহোরা
baglama	বাগ্লামা
bagri	বাগরি
bagwali	বাগওালি
bahadurpur	বাহাদুরপুর
bahamas	বাহামাস
bahara	বাহারা
baharaali	বাহারআলি
bahari	বাহারি
baharia	বাহরিয়া
baharjanbibi	বাহারজানবিবি
bahia	বাহিয়া
bahilpurwa	বাহিলপুরয়া
bahjoi	বাহজয়
bahraich	বাহরাইচ
bahrain	বাহরেন
baidanath	বৈদনাথ
baidul	বাইদুল
baidyanathdham	বৈদ্যনাথধাম
baijanti	বৈজন্তী
baijul	বাইজুল
baijunath	বৈজুনাথ
baikal	বৈকাল
baikuntha	বৈকুণ্ঠ
bailey	বেলি
bainchi	বৈঁচি
bains	বাইনস
baion	বাইওন
bairagi	বৈরাগী
bairstow	ব্রিসটো
baishakhi	বৈশাখি
baishali	বৈশালী
baitalpur	বৈতালপুর
baitarani	বৈতরণী
baitun	বৈতুন
baiyoke	বাইওক
baiza	বাইজা
baja	বাজা
bajan	বাজন
bajari	বাজারী
baji	বাজি
bajranga	বজরঙ্গ
bajrul	বজরুল
bajrulhak	বজরুলহক
bajva	বাজভা
bajwa	বাজ্বয়া
bakaalkar	বাকালকার
bakare	বাকারে
bakelal	বাকেলাল
baker	বাকের
bakhera	বাখেরা
bakherun	বাখেরুন
bakhshi	বখষী
bakht	ভক্ত
bakhtiar	বক্তিয়ার
bakhtiyarpur	বকতিয়ারপুর
bakir	বাকির
bakirhossain	বাকিরহোসেন
bakkai	বিক্কাই
bakkar	বাক্কার
bakra	বাকরা
baktar	বক্তার
baku	বকু
bakul	বকুল
bakula	বকুলা
bakulbala	বকুলবালা
bakulchandra	বকুলচন্দ্র
bakuli	বকুলী
bakulrani	বকুলরাণী
bal	বাল
balaghat	বালাগহাট
balahari	বলহরি
balai	বলাই
balaichad	বলাইচাদ
balaichand	বলাইচাঁদ
balaicharan	বলাইচরণ
balailal	বলাইলাল
balamu	বালামু
balance	ব্যালেন্স
balasore	বালাসোর
balauda	বালাওদা
balawala	বালাওয়ালা
balawali	বালাওলি
balbahadur	বলবাহাদুর
balbhadra	বলভদ্র
balbir	বলবীর
balboa	বাল্বাও
balchand	বালচাঁদ
baldeb	বলদেব
baldeo	বলদেও
baleswari	বালেশ্বরী
balgobinda	বালগোবিন্দ
balharshah	বালহারশাহ
balhi	বালহী
balia	বালিয়া
balika	বালিকা
balil	বালিল
balimela	বালিমেলা
balipara	বালিপারা
baljit	বলজিত্
balkan	বাল্কান
balkham	বালকাম
balkhash	বাল্কহাস
balkrishna	বালকৃষ্ণ
ball	বল
balla	বালা
ballabgarh	বল্লবগড়
ballabh	বল্লভ
ballabha	বল্লভা
ballal	বেল্লাল
ballaleshwar	বল্লালেশ্বর
ballard	ব্যালার্ড
balli	বাল্লি
ballia	বাল্লিয়া
balmer	বালমের
balmiki	বাল্মিকী
balmukund	বালমুকুন্দ
balod	বালোদ
balotra	বালোট্রা
balrampur	বলরামপুর
balsamand	বলসামন্দ
baltic	বাল্টিক
baluran	বালুরান
balwara	বালওয়ারা
balwinder	বালউইনদার
bamacharan	বামাচরণ
bamako	বামাকো
bamandas	বামনদাস
bamanheri	বামানহেরি
bamapada	বামাপদ
bamaprasad	বামাপ্রসাদ
bamba	বাম্বা
bambuca	বাম্বুকা
bamcharan	বামচরন
bamdeb	বামদেব
bamhrauli	বামহরাওলি
bamla	বামলা
bamnia	বামনিয়া
bamori	বামোরি
bamra	বামরা
bamrah	বমরাহ
bana	বানা
banahi	বানাহি
banai	বানাই
banalata	বনলতা
banamala	বনমালা
banamali	বনমালি
banani	বনানী
banaphul	বনফুল
banapura	বানাপুরা
banarhat	বনারহাট
banas	বানাস
banashri	বনশ্রী
banaskantha	বানাসকান্থা
banbala	বনবালা
banbasa	বানবাসা
banbhatta	বানভট্ট
banbihari	বনবিহারী
banca	বানকা
bancarella	বাঙ্কারেলা
bancha	বাঞ্ছা
banco	বানকো
bancroft	বানক্রোফট
bandan	বন্দন
bandanarani	বন্দনারাণী
bandanwara	বানদানওয়ারা
bandara	ভান্ডারা
bandaratilleke	ভান্ডারাতিলক
bandekar	বান্দেকর
bandel	ব্যান্ডেল
bandera	বান্দ্রেরা
bandevi	বনদেবী
bandhan	বন্ধন
bandhana	বন্ধনা
bandhavgarh	বান্ধবগড়
bandhu	বন্ধু
bandikui	বাঁনডিকুই
bandipur	বন্দিপুর
bandita	বন্দিতা
bandoneon	বান্ডোনেওন
bandopadyay	বন্দ্যোপাধ্যায়
bandugar	বানদুগর
bandura	বান্ডুরা
bandurria	বান্ডুরিয়া
banera	বানেরা
baneshwar	বানেশ্বর
baneswar	বানেশ্বরী
banff	বানফ
bang	বাঁঙ
banga	বানগা
bangabala	বঙ্গবালা
bangalata	বঙ্গলতা
bangali	বাঙ্গালী
bangar	বাঞ্জার
bangarani	বঙ্গরানী
bangi	বাঙ্গী
bangkok	ব্যাংকক
bangla	বাঙ্গলা
bangli	বাঙালী
bangrod	ব্যাঙ্গরড
bangsar	বাঙ্গসার
bani	বনি
banibala	বনিবালা
banibrata	বানীব্রত
banikumar	বানীকুমার
banipad	বানীপদ
baniprasad	বানীপ্রসাদ
baniram	বনিরাম
banirani	বানীরানী
bank	ব্যাঙ্ক
bankimchandra	বঙ্কিমচন্দ্র
banksharaj	বংশরাজ
bankubihari	বঙ্কুবিহারী
bankura	বাঁকুড়া
banmor	বনমোর
banner	বেনার
banojari	বনওযারী
bansdih	বানসিদ্ধ
banshadhar	বংশধর
banshagopal	বংশগোপাল
banshi	বংশী
banshibadan	বংশীবদন
banshidhar	বংশীধর
banshipada	বংশীপদ
bansi	বনসি
bansipur	বনসিপুর
bantawala	বনতয়ালা
banthra	বনথরা
banti	বান্টি
bantul	বাঁটুল
banu	বানু
banubegam	বানুবেগম
banud	বানউদ
banwali	বনয়ালি
banyan	ব্যানিয়ান
baori	বাঔরি
baosteel	বায়োস্টীল
bapankumar	বাপনকুমার
bapat	বাপট
bapatla	বাপাটলা
bapikumar	বাপীকুমার
bapin	বাপিন
bappa	বাপ্পা
baptist	ব্যাপিস্ট
baptiste	বাপ্টিস্ট
bara	বারা
barabanki	বারবাঁকি
barabhum	বারাভূম
barad	বারাদ
baradwar	বারদয়ার
baraigram	বারাইগ্রাম
barajas	বারজাস
barakar	বরাকর
baral	বরাল
baramati	বারামতি
barameshwar	বরমেশ্বর
baraminya	বড়মিঞা
baramua	বারামুয়া
baramunu	বড়মুনু
baran	বারন
barar	বারার
barara	বারার
barasat	বারাসাত
barath	বারাথ
barauni	বারাউনি
barbarossa	বারবারোসা
barchi	বারছি
barchon	বারচোন
barclays	বারক্লেস
barddhaman	বর্ধমান
bareilly	বারিইল্লি
barejadi	বারিজাদি
baren	বরেন
barendra	বরেন্দ্র
barendranath	বরেন্দ্রনাথ
barents	ব্যারেন্টস
bareta	বারেটা
bareth	বারিথ
barfleur	বারফ্লেউর
bargadi	বারগাদি
bargarh	বারগড়
barh	বাড়
barhan	বারহান
barhiya	বারহিয়া
bari	বারি
baria	বারিয়া
baridbaran	বারিদবরণ
barila	বারিলা
barimani	বারিমনি
barin	বারীন
barium	বেরিয়াম
barjan	বারজান
barka	বড়কা
barkakana	বারকাকান
barkandi	বারকানদি
barkat	বরকত
barkatali	বরকতআলি
barkatulla	বরকতউল্লা
barki	বড়কি
barlai	বারলাই
barlal	বড়লাল
barlow	বারলো
barma	বর্মা
barmi	বরমি
barmini	বড়মিনি
barn	বার্ন
barna	বর্ণা
barnabala	বর্ণবালা
barnagar	বারনগর
barnala	বারনালা
barnali	বনার্লী
barnamala	বর্ণমালা
barnes	বার্নেস
barnett	বারনেট
barney	বার্নি
barni	বারনী
barnstable	বার্নস্টেবল
barnwell	বার্নওয়েল
barog	বারোগ
barpali	বারপালি
barpeta	বারপেটা
barrackpore	ব্যারাকপুর
barrancas	ব্রানকাস
barrington	বারিঙ্গটোন
barrow	ব্যারো
barry	বেরি
barsathi	বারসাথী
barsha	বর্ষা
barshan	বর্ষন
barsharani	বর্ষারানী
barsi	বরসি
barsuan	বারসুয়ান
bartaman	বর্তমান
barton	বার্টোন
barua	বরুয়া
barun	বরুণ
barunchandra	বরুনচন্দ্র
barundeb	বরুনদেব
baruni	বারুনী
barunkanti	বরুনকান্তি
barunkumar	বরুণকুমার
barwadih	বারবাদিহ
barwaha	বারয়াহা
barya	বারয়া
basab	বাসব
basabi	বাসবী
basai	বসাই
basak	বাসক
basaki	বাসকি
basana	বাসনা
basanta	বসন্ত
basantakumar	বসন্তকুমার
basantalal	বসন্তলাল
basantibala	বাসন্তীবালা
basantidebi	বাসন্তীদেবী
basantilata	বাসন্তীলতা
basantirani	বাসন্তীরানী
basar	বসার
basaratali	বাসারতআলী
basava	বসাভা
basdeb	বাসদেব
baseda	বাসেদা
basedali	বাসেদআলী
basel	বাসেল
basena	বাসেনা
basetun	বাসেতুন
bashera	বাশেরা
bashishta	বশিষ্ট
basir	বসীর
basirali	বসিরআলি
basiram	বাসীরাম
basiran	বসিরান
basirul	বাসিরুল
basirun	বসিরুন
basit	বাসিত
baska	বাসকা
basketball	বাস্কেটবল
baskin	বাস্কিন
basmani	বাসমনি
basmat	বাসম্যাট
basmati	বাসমতি
basra	বসরা
basrul	বসরুল
bass	বাস
bassaseachi	বাসাসিয়াচি
bassi	বাসী
bastami	বাস্তামী
bastar	বাস্তার
basti	বাস্তি
basubala	বাসুবালা
basudam	বসুদাম
basudeb	বাসুদেব
basudeo	বাসুদেও
basudev	বাসুদেভ
basuki	বাসুকী
basula	বসুলা
basumati	বসুমতি
baswa	বাসয়া
bata	বাটা
batakrishna	বটকৃষ্ণ
batala	বাতালা
batasi	বাতাসি
batch	বাচ
bates	বাটেস
bateshwar	বটেশ্বর
batija	বতিযা
batila	বতিলা
batra	বাট্রা
battice	ব্যাটিসি
battleford	ব্যাটেলফোর্ড
battler	ব্যাটলার
batty	বট্টি
batuque	বাতুকুই
